stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,stop_timezone,wheelchair_boarding,A,B,C
1AARD,5009,Avrillé - Ardenne,47.511486,-0.5960120000000001,0,Europe/Paris,1,0,-1,-1
1ANRO,3935,Roseraie,47.443849,-0.5538860000000001,0,Europe/Paris,1,24,-1,18
1ACAS,16233,Acacias,47.503646,-0.5863750000000001,0,Europe/Paris,1,3,-1,-1
1BEAU,,Beaussier,47.476478,-0.5992810000000001,0,Europe/Paris,1,-1,1,1
1BMAI,16196,Berges de Maine,47.479341,-0.5493820000000001,0,Europe/Paris,1,12,-1,-1
1BASC,4827,Bascule,47.508686,-0.591659,0,Europe/Paris,1,1,-1,17
1BROY,32629,Bois du Roy,47.499605,-0.5831590000000001,0,Europe/Paris,1,4,-1,-1
1BARR,,La Barre,47.473174,-0.5987260000000001,0,Europe/Paris,1,-1,2,2
1BOTA,24128,Terra Botanica,47.494224,-0.5746170000000002,0,Europe/Paris,1,6,-1,-1
1BAMA,24604,Bamako,47.452165,-0.5564590000000001,0,Europe/Paris,1,21,-1,15
1BBCA,,Belle-Beille Campus,47.477932,-0.6031990000000002,0,Europe/Paris,1,-1,0,0
1BRIS,,Brisepotière,47.478593,-0.5282140000000001,0,Europe/Paris,1,-1,14,-1
1CONS,,Conservatoire,47.471389,-0.5381520000000001,0,Europe/Paris,1,-1,11,-1
1CECO,519627,Centre de Congrès,47.474152,-0.5460830000000001,0,Europe/Paris,1,14,10,-1
1CROI,,Deux-Croix,47.475158,-0.5288700000000001,0,Europe/Paris,1,-1,13,-1
1CAPU,29904,Capucins,47.486888,-0.5552330000000001,0,Europe/Paris,1,10,-1,-1
1DOUT,,Doutre,47.47414,-0.5605780000000001,0,Europe/Paris,1,-1,7,7
1DUNA,,Allonneau-Dunant,47.483927,-0.5268110000000001,0,Europe/Paris,1,-1,15,-1
1ELYS,,Élysée,47.473589,-0.5853739999999999,0,Europe/Paris,1,-1,4,4
1EURO,,Europe,47.486621,-0.5270350000000001,0,Europe/Paris,1,-1,16,-1
1FARC,,Farcy,47.47327,-0.5773770000000001,0,Europe/Paris,1,-1,5,5
1FMBL,11327,Foch-Maison Bleue,47.468992,-0.5497560000000001,0,Europe/Paris,1,16,-1,10
1HSAU,3016,Hauts de St-Aubin,47.492152,-0.5604220000000001,0,Europe/Paris,1,8,-1,-1
1HARA,24652,Foch-Haras,47.466815,-0.5526570000000001,0,Europe/Paris,1,17,-1,11
1HDVA,194430,Hôtel de Ville,47.471695,-0.5467910000000001,0,Europe/Paris,1,15,-1,-1
1HOPA,24731,CHU-Hôpital,47.481385,-0.5541580000000002,0,Europe/Paris,1,11,-1,-1
1JVIL,20509,Jean Vilar,47.445072,-0.5623260000000001,0,Europe/Paris,1,23,-1,17
1JMOU,4159,Jean Moulin,47.490467,-0.5521950000000001,0,Europe/Paris,1,9,-1,-1
1JE23,24624,Jean XXIII,47.448607,-0.5629320000000001,0,Europe/Paris,1,22,-1,16
1LAFA,31950,La Fayette,47.460812,-0.5547230000000001,0,Europe/Paris,1,19,-1,13
1LGAR,20910,Les Gares,47.464465,-0.5554650000000001,0,Europe/Paris,1,18,-1,12
1MOLIE,,Molière,47.474077,-0.5555330000000001,0,Europe/Paris,1,-1,8,8
1MTAI,,Montaigne,47.469226,-0.5328030000000001,0,Europe/Paris,1,-1,12,
1MONP,,Monplaisir,47.488903,-0.5268290000000001,0,Europe/Paris,1,-1,17,
1PMAY,17915,Plateau Mayenne,47.49571,-0.5800510000000001,0,Europe/Paris,1,5,-1,-1
1PATT,,Patton,47.473358,-0.5925580000000001,0,Europe/Paris,1,-1,3,3
1QUAI,,Le Quai,47.472286,-0.5664480000000001,0,Europe/Paris,1,-1,6,6
1RALL,,Ralliement,47.471129,-0.5516640000000002,0,Europe/Paris,1,-1,-1,9
1STGI,23494,St-Gilles,47.506512,-0.5895390000000001,0,Europe/Paris,1,-1,-1,-1
1STRA,7319,Strasbourg,47.456676,-0.5540389999999999,0,Europe/Paris,1,20,14,-1
1VERN,25220,Verneau,47.492424,-0.5671079999999999,0,Europe/Paris,1,7,-1,-1
1STSE,901361,St-Serge Université,47.476135,-0.5506700000000001,0,Europe/Paris,1,13,9,-1
