trip_id,stop_id,stop_sequence
A,1ANRO,24
A,1JVIL,23
A,1JE23,22
A,1BAMA,21
A,1STRA,20
A,1LAFA,19
A,1LGAR,18
A,1HARA,17
A,1FMBL,16
A,1HDVA,15
A,1CECO,14
A,1STSE,13
A,1BMAI,12
A,1HOPA,11
A,1CAPU,10
A,1JMOU,9
A,1HSAU,8
A,1VERN,7
A,1BOTA,6
A,1PMAY,5
A,1BROY,4
A,1ACAS,3
A,1STGI,2
A,1BASC,1
A,1AARD,0
C,1ANRO,18
C,1JVIL,17
C,1JE23,16
C,1BAMA,15
C,1STRA,14
C,1LAFA,13
C,1LGAR,12
C,1HARA,11
C,1FMBL,10
C,1RALL,9
C,1MOLIE,8
C,1DOUT,7
C,1QUAI,6
C,1FARC,5
C,1ELYS,4
C,1PATT,3
C,1BARR,2
C,1BEAU,1
C,1BBCA,0
B,1BBCA,17
B,1BEAU,16
B,1BARR,15
B,1PATT,14
B,1ELYS,13
B,1FARC,12
B,1QUAI,11
B,1DOUT,10
B,1MOLIE,9
B,1STSE,8
B,1CECO,7
B,1CONS,6
B,1MTAI,5
B,1CROI,4
B,1BRIS,3
B,1DUNA,2
B,1EURO,1
B,1MONP,0
